2010,European Union - 27 countries (from 2020),Euro,Compensation per employee,31 691.4
2010,European Union - 27 countries (from 2020),Euro,Compensation of employees per hour worked,20.1
2010,European Union - 27 countries (from 2020),Euro,Nominal labour productivity per person,:
2010,European Union - 27 countries (from 2020),Euro,Nominal labour productivity per hour worked,:
2010,European Union - 27 countries (from 2020),Euro,Real labour productivity per person,:
2010,European Union - 27 countries (from 2020),National currency,Compensation per employee,31 691.4
2010,European Union - 27 countries (from 2020),National currency,Compensation of employees per hour worked,20.1
2010,European Union - 27 countries (from 2020),National currency,Nominal labour productivity per person,:
2010,European Union - 27 countries (from 2020),National currency,Nominal labour productivity per hour worked,:
2010,European Union - 27 countries (from 2020),National currency,Real labour productivity per person,:
2010,European Union - 27 countries (from 2020),Purchasing power standard (PPS),Compensation per employee,32 039.4
2010,European Union - 27 countries (from 2020),Purchasing power standard (PPS),Compensation of employees per hour worked,20.3
2010,European Union - 27 countries (from 2020),Purchasing power standard (PPS),Nominal labour productivity per person,:
2010,European Union - 27 countries (from 2020),Purchasing power standard (PPS),Nominal labour productivity per hour worked,:
2010,European Union - 27 countries (from 2020),Purchasing power standard (PPS),Real labour productivity per person,:
2010,European Union - 27 countries (from 2020),Purchasing power standard (PPS EU27 from 2020),Compensation per employee,31 691.4
2010,European Union - 27 countries (from 2020),Purchasing power standard (PPS EU27 from 2020),Compensation of employees per hour worked,20.1
2010,European Union - 27 countries (from 2020),Purchasing power standard (PPS EU27 from 2020),Nominal labour productivity per person,:
2010,European Union - 27 countries (from 2020),Purchasing power standard (PPS EU27 from 2020),Nominal labour productivity per hour worked,:
2010,European Union - 27 countries (from 2020),Purchasing power standard (PPS EU27 from 2020),Real labour productivity per person,:
2010,European Union - 27 countries (from 2020),Index 2015=100,Compensation per employee,:
2010,European Union - 27 countries (from 2020),Index 2015=100,Compensation of employees per hour worked,:
2010,European Union - 27 countries (from 2020),Index 2015=100,Nominal labour productivity per person,:
2010,European Union - 27 countries (from 2020),Index 2015=100,Nominal labour productivity per hour worked,:
2010,European Union - 27 countries (from 2020),Index 2015=100,Real labour productivity per person,96.3
2010,European Union - 28 countries (2013-2020),Euro,Compensation per employee,32 477.8
2010,European Union - 28 countries (2013-2020),Euro,Compensation of employees per hour worked,20.5
2010,European Union - 28 countries (2013-2020),Euro,Nominal labour productivity per person,:
2010,European Union - 28 countries (2013-2020),Euro,Nominal labour productivity per hour worked,:
2010,European Union - 28 countries (2013-2020),Euro,Real labour productivity per person,:
2010,European Union - 28 countries (2013-2020),National currency,Compensation per employee,32 477.8
2010,European Union - 28 countries (2013-2020),National currency,Compensation of employees per hour worked,20.5
2010,European Union - 28 countries (2013-2020),National currency,Nominal labour productivity per person,:
2010,European Union - 28 countries (2013-2020),National currency,Nominal labour productivity per hour worked,:
2010,European Union - 28 countries (2013-2020),National currency,Real labour productivity per person,:
2010,European Union - 28 countries (2013-2020),Purchasing power standard (PPS),Compensation per employee,32 477.8
2010,European Union - 28 countries (2013-2020),Purchasing power standard (PPS),Compensation of employees per hour worked,20.5
2010,European Union - 28 countries (2013-2020),Purchasing power standard (PPS),Nominal labour productivity per person,:
2010,European Union - 28 countries (2013-2020),Purchasing power standard (PPS),Nominal labour productivity per hour worked,:
2010,European Union - 28 countries (2013-2020),Purchasing power standard (PPS),Real labour productivity per person,:
2010,European Union - 28 countries (2013-2020),Purchasing power standard (PPS EU27 from 2020),Compensation per employee,32 125.1
2010,European Union - 28 countries (2013-2020),Purchasing power standard (PPS EU27 from 2020),Compensation of employees per hour worked,20.3
2010,European Union - 28 countries (2013-2020),Purchasing power standard (PPS EU27 from 2020),Nominal labour productivity per person,:
2010,European Union - 28 countries (2013-2020),Purchasing power standard (PPS EU27 from 2020),Nominal labour productivity per hour worked,:
2010,European Union - 28 countries (2013-2020),Purchasing power standard (PPS EU27 from 2020),Real labour productivity per person,:
2010,European Union - 28 countries (2013-2020),Index 2015=100,Compensation per employee,:
2010,European Union - 28 countries (2013-2020),Index 2015=100,Compensation of employees per hour worked,:
2010,European Union - 28 countries (2013-2020),Index 2015=100,Nominal labour productivity per person,:
2010,European Union - 28 countries (2013-2020),Index 2015=100,Nominal labour productivity per hour worked,:
2010,European Union - 28 countries (2013-2020),Index 2015=100,Real labour productivity per person,96.3
2010,European Union - 15 countries (1995-2004),Euro,Compensation per employee,37 215.2
2010,European Union - 15 countries (1995-2004),Euro,Compensation of employees per hour worked,24.5
2010,European Union - 15 countries (1995-2004),Euro,Nominal labour productivity per person,:
2010,European Union - 15 countries (1995-2004),Euro,Nominal labour productivity per hour worked,:
2010,European Union - 15 countries (1995-2004),Euro,Real labour productivity per person,:
2010,European Union - 15 countries (1995-2004),National currency,Compensation per employee,37 215.2
2010,European Union - 15 countries (1995-2004),National currency,Compensation of employees per hour worked,24.5
2010,European Union - 15 countries (1995-2004),National currency,Nominal labour productivity per person,:
2010,European Union - 15 countries (1995-2004),National currency,Nominal labour productivity per hour worked,:
2010,European Union - 15 countries (1995-2004),National currency,Real labour productivity per person,:
2010,European Union - 15 countries (1995-2004),Purchasing power standard (PPS),Compensation per employee,35 107.0
2010,European Union - 15 countries (1995-2004),Purchasing power standard (PPS),Compensation of employees per hour worked,23.1
2010,European Union - 15 countries (1995-2004),Purchasing power standard (PPS),Nominal labour productivity per person,:
2010,European Union - 15 countries (1995-2004),Purchasing power standard (PPS),Nominal labour productivity per hour worked,:
2010,European Union - 15 countries (1995-2004),Purchasing power standard (PPS),Real labour productivity per person,:
2010,European Union - 15 countries (1995-2004),Purchasing power standard (PPS EU27 from 2020),Compensation per employee,34 726.7
2010,European Union - 15 countries (1995-2004),Purchasing power standard (PPS EU27 from 2020),Compensation of employees per hour worked,22.9
2010,European Union - 15 countries (1995-2004),Purchasing power standard (PPS EU27 from 2020),Nominal labour productivity per person,:
2010,European Union - 15 countries (1995-2004),Purchasing power standard (PPS EU27 from 2020),Nominal labour productivity per hour worked,:
2010,European Union - 15 countries (1995-2004),Purchasing power standard (PPS EU27 from 2020),Real labour productivity per person,:
2010,European Union - 15 countries (1995-2004),Index 2015=100,Compensation per employee,:
2010,European Union - 15 countries (1995-2004),Index 2015=100,Compensation of employees per hour worked,:
2010,European Union - 15 countries (1995-2004),Index 2015=100,Nominal labour productivity per person,:
2010,European Union - 15 countries (1995-2004),Index 2015=100,Nominal labour productivity per hour worked,:
2010,European Union - 15 countries (1995-2004),Index 2015=100,Real labour productivity per person,96.7
2010,Euro area (EA11-1999 EA12-2001 EA13-2007 EA15-2008 EA16-2009 EA17-2011 EA18-2014 EA19-2015),Euro,Compensation per employee,36 230.3
2010,Euro area (EA11-1999 EA12-2001 EA13-2007 EA15-2008 EA16-2009 EA17-2011 EA18-2014 EA19-2015),Euro,Compensation of employees per hour worked,24.2
2010,Euro area (EA11-1999 EA12-2001 EA13-2007 EA15-2008 EA16-2009 EA17-2011 EA18-2014 EA19-2015),Euro,Nominal labour productivity per person,:
2010,Euro area (EA11-1999 EA12-2001 EA13-2007 EA15-2008 EA16-2009 EA17-2011 EA18-2014 EA19-2015),Euro,Nominal labour productivity per hour worked,:
2010,Euro area (EA11-1999 EA12-2001 EA13-2007 EA15-2008 EA16-2009 EA17-2011 EA18-2014 EA19-2015),Euro,Real labour productivity per person,:
2010,Euro area (EA11-1999 EA12-2001 EA13-2007 EA15-2008 EA16-2009 EA17-2011 EA18-2014 EA19-2015),National currency,Compensation per employee,36 230.3
2010,Euro area (EA11-1999 EA12-2001 EA13-2007 EA15-2008 EA16-2009 EA17-2011 EA18-2014 EA19-2015),National currency,Compensation of employees per hour worked,24.2
2010,Euro area (EA11-1999 EA12-2001 EA13-2007 EA15-2008 EA16-2009 EA17-2011 EA18-2014 EA19-2015),National currency,Nominal labour productivity per person,:
2010,Euro area (EA11-1999 EA12-2001 EA13-2007 EA15-2008 EA16-2009 EA17-2011 EA18-2014 EA19-2015),National currency,Nominal labour productivity per hour worked,:
2010,Euro area (EA11-1999 EA12-2001 EA13-2007 EA15-2008 EA16-2009 EA17-2011 EA18-2014 EA19-2015),National currency,Real labour productivity per person,:
2010,Euro area (EA11-1999 EA12-2001 EA13-2007 EA15-2008 EA16-2009 EA17-2011 EA18-2014 EA19-2015),Purchasing power standard (PPS),Compensation per employee,34 808.4
2010,Euro area (EA11-1999 EA12-2001 EA13-2007 EA15-2008 EA16-2009 EA17-2011 EA18-2014 EA19-2015),Purchasing power standard (PPS),Compensation of employees per hour worked,23.2
2010,Euro area (EA11-1999 EA12-2001 EA13-2007 EA15-2008 EA16-2009 EA17-2011 EA18-2014 EA19-2015),Purchasing power standard (PPS),Nominal labour productivity per person,:
2010,Euro area (EA11-1999 EA12-2001 EA13-2007 EA15-2008 EA16-2009 EA17-2011 EA18-2014 EA19-2015),Purchasing power standard (PPS),Nominal labour productivity per hour worked,:
2010,Euro area (EA11-1999 EA12-2001 EA13-2007 EA15-2008 EA16-2009 EA17-2011 EA18-2014 EA19-2015),Purchasing power standard (PPS),Real labour productivity per person,:
2010,Euro area (EA11-1999 EA12-2001 EA13-2007 EA15-2008 EA16-2009 EA17-2011 EA18-2014 EA19-2015),Purchasing power standard (PPS EU27 from 2020),Compensation per employee,34 430.9
2010,Euro area (EA11-1999 EA12-2001 EA13-2007 EA15-2008 EA16-2009 EA17-2011 EA18-2014 EA19-2015),Purchasing power standard (PPS EU27 from 2020),Compensation of employees per hour worked,23
2010,Euro area (EA11-1999 EA12-2001 EA13-2007 EA15-2008 EA16-2009 EA17-2011 EA18-2014 EA19-2015),Purchasing power standard (PPS EU27 from 2020),Nominal labour productivity per person,:
2010,Euro area (EA11-1999 EA12-2001 EA13-2007 EA15-2008 EA16-2009 EA17-2011 EA18-2014 EA19-2015),Purchasing power standard (PPS EU27 from 2020),Nominal labour productivity per hour worked,:
2010,Euro area (EA11-1999 EA12-2001 EA13-2007 EA15-2008 EA16-2009 EA17-2011 EA18-2014 EA19-2015),Purchasing power standard (PPS EU27 from 2020),Real labour productivity per person,:
2010,Euro area (EA11-1999 EA12-2001 EA13-2007 EA15-2008 EA16-2009 EA17-2011 EA18-2014 EA19-2015),Index 2015=100,Compensation per employee,:
